時,気圧,海面気圧,降水量,気温,露点温度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪,天気,icon,雲量,視程
1,1022.6,1026.8,0.5,0.3,-0.8,5.8,92,1.5,南西,,,,11,,,
2,1022.3,1026.5,0.0,0.3,-1.0,5.7,91,1.7,東北東,,,,11,,,
3,1022.4,1026.6,0.0,-0.2,-1.2,5.6,93,1.9,東北東,,,,11,雪,../../data/image/tenki/large/F8AA.gif,15.0
4,1022.2,1026.4,0.0,-0.5,-1.3,5.6,94,2.2,南東,,,,11,,,
5,1022.0,1026.2,--,-0.9,-2.3,5.2,90,1.2,東,,,,9,,,
6,1022.2,1026.4,0.0,-0.4,-2.6,5.1,85,1.4,東南東,,,,10,晴れ,../../data/image/tenki/large/F8A0.gif,15.0
7,1022.1,1026.3,--,-1.0,-3.7,4.7,82,2.2,東南東,--,,,9,,,
8,1022.1,1026.3,--,-0.4,-3.7,4.7,78,2.2,東南東,0.6,,,10,,,
9,1022.0,1026.2,--,1.3,-3.5,4.7,70,1.0,南東,1.0,,2,10,快晴,../../data/image/tenki/large/F89F.gif,30.0
10,1022.0,1026.2,--,3.4,-2.5,5.1,65,1.4,南南西,1.0,,,10,,,
11,1021.4,1025.5,--,5.1,-3.2,4.8,55,1.2,南西,1.0,,,11,,,
12,1020.4,1024.5,--,5.5,-3.6,4.7,52,4.1,南南西,1.0,,,9,晴れ,../../data/image/tenki/large/F8A0.gif,30.0
13,1020.0,1024.1,--,5.3,-1.4,5.5,62,3.2,南南西,0.8,,,9,,,
14,1020.0,1024.1,--,5.5,-1.9,5.3,59,4.0,南西,0.2,,,9,,,
15,1020.0,1024.1,--,5.3,-1.2,5.6,63,5.0,南西,--,,--,8,曇,../../data/image/tenki/large/F8A2.gif,30.0
16,1020.3,1024.4,0.0,5.1,-1.4,5.5,63,6.4,南西,0.1,,,9,,,
17,1020.7,1024.8,0.0,4.6,-0.6,5.9,69,4.7,南西,0.1,,,8,,,
18,1020.9,1025.0,0.0,4.3,0.1,6.2,74,4.5,南南西,--,,,8,雨,../../data/image/tenki/large/F8A8.gif,15.0
19,1020.7,1024.8,0.5,3.9,0.2,6.2,77,8.6,南南西,,,,8,,,
20,1021.1,1025.2,0.5,4.7,-0.1,6.1,71,7.1,南西,,,,8,,,
21,1021.3,1025.4,0.0,4.7,0.1,6.2,72,5.8,南南西,,,--,8,雨,../../data/image/tenki/large/F8A8.gif,15.0
22,1021.2,1025.3,0.0,4.4,0.7,6.4,77,5.4,南南西,,,,7,,,
23,1021.2,1025.3,0.0,4.3,1.0,6.6,79,7.6,南南西,,,,7,,,
24,1021.1,1025.2,0.0,4.9,1.0,6.6,76,7.2,南南西,,,,6,,,
